url,status_code,final_url_after_redirects,canonical_tag,canonical_status_code,canonical_final_url,meta_robots,x_robots_tag,is_indexable,in_sitemap,title,canonical_issue_type,recommended_fix,priority
https://drivingschoolliverpool.sydney/,200,same,https://drivingschoolliverpool.sydney/,200,same,index follow,none,yes,yes,Low-Priced Driving Lessons Liverpool 02 8776 1815,FIXED: was missing canonical,Added canonical + og:url + og meta tags,CRITICAL
https://drivingschoolliverpool.sydney/about-us/,200,same,https://drivingschoolliverpool.sydney/about-us/,200,same,index follow,none,yes,yes,About Us | Ashraf George Driving Instructor Liverpool,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/contact-us/,200,same,https://drivingschoolliverpool.sydney/contact-us/,200,same,index follow,none,yes,yes,Contact Us | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/automatic-driving-lessons/,200,same,https://drivingschoolliverpool.sydney/automatic-driving-lessons/,200,same,index follow,none,yes,yes,Automatic Driving Lessons Liverpool | Driving School Liverpool Center,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/driving-lessons-chipping-norton/,200,same,https://drivingschoolliverpool.sydney/driving-lessons-chipping-norton/,200,same,index follow,none,yes,yes,Driving Lessons Chipping Norton | Driving School Liverpool Center,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/driving-lessons-edmondson-park/,200,same,https://drivingschoolliverpool.sydney/driving-lessons-edmondson-park/,200,same,index follow,none,yes,yes,Driving Lessons Edmondson Park | Automatic Lessons and Test Preparation,FIXED: was www. canonical; also missing meta robots,Replaced www. + added meta robots,CRITICAL
https://drivingschoolliverpool.sydney/beginner-driving-lessons-liverpool/,200,same,https://drivingschoolliverpool.sydney/beginner-driving-lessons-liverpool/,200,same,index follow,none,yes,yes,Beginner Driving Lessons Liverpool | Learn in a Calm Automatic Car,FIXED: was www. canonical; also missing meta robots,Replaced www. + added meta robots,CRITICAL
https://drivingschoolliverpool.sydney/our-services/,200,same,https://drivingschoolliverpool.sydney/our-services/,200,same,index follow,none,yes,yes,Driving Lesson Services Liverpool | Beginner Automatic Test Prep & More,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/certified-to-work-with-children/,200,same,https://drivingschoolliverpool.sydney/certified-to-work-with-children/,200,same,index follow,none,yes,yes,Certified to Work with Children | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/privacy-policy/,200,same,https://drivingschoolliverpool.sydney/privacy-policy/,200,same,index follow,none,yes,yes,Privacy Policy | Driving School Liverpool Centre,FIXED: was www. canonical + malformed og:image URL,Replaced www. + fixed malformed og:image/twitter:image domain,CRITICAL
https://drivingschoolliverpool.sydney/payment-policy/,200,same,https://drivingschoolliverpool.sydney/payment-policy/,200,same,index follow,none,yes,yes,Payment Policy | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/refund-policy/,200,same,https://drivingschoolliverpool.sydney/refund-policy/,200,same,index follow,none,yes,yes,Refund Policy | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/code-of-conduct/,301,https://drivingschoolliverpool.sydney/,n/a (URL redirects),n/a,n/a,index follow (in HTML — never served),none,no (redirects to /),REMOVED FROM SITEMAP,Code of Conduct | Driving School Liverpool Centre,FIXED: removed from sitemap (URL returns 301 to homepage),Removed from sitemap.xml; page file + redirect rule kept,CRITICAL
https://drivingschoolliverpool.sydney/cancellation-policy/,200,same,https://drivingschoolliverpool.sydney/cancellation-policy/,200,same,index follow,none,yes,yes,Cancellation Policy | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/terms-and-conditions/,200,same,https://drivingschoolliverpool.sydney/terms-and-conditions/,200,same,index follow,none,yes,yes,Terms and Conditions | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/australian-business-number-abn/,200,same,https://drivingschoolliverpool.sydney/australian-business-number-abn/,200,same,index follow,none,yes,yes,Australian Business Number (ABN) | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/learner-referral-program-terms-and-conditions/,200,same,https://drivingschoolliverpool.sydney/learner-referral-program-terms-and-conditions/,200,same,index follow,none,yes,yes,Learner Referral Program Terms and Conditions | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/review-policy/,200,same,https://drivingschoolliverpool.sydney/review-policy/,200,same,index follow,none,yes,yes,Review Policy | Driving School Liverpool Centre,FIXED: was www. canonical,Replaced www. with non-www in canonical + og:url + JSON-LD,CRITICAL
https://drivingschoolliverpool.sydney/about-us,307,https://drivingschoolliverpool.sydney/about-us/,https://drivingschoolliverpool.sydney/about-us/,200,same,index follow,none,yes,yes,About Us | Ashraf George Driving Instructor Liverpool,FIXED: 307 overridden with explicit 301 rule in _redirects,Added /about-us → /about-us/ 301 to _redirects,MEDIUM
https://drivingschoolliverpool.sydney/contact-us,307,https://drivingschoolliverpool.sydney/contact-us/,https://drivingschoolliverpool.sydney/contact-us/,200,same,index follow,none,yes,yes,Contact Us | Driving School Liverpool Centre,FIXED: 307 overridden with explicit 301 rule in _redirects,Added /contact-us → /contact-us/ 301 to _redirects,MEDIUM
http://drivingschoolliverpool.sydney/,200,same,n/a,n/a,n/a,n/a,none,yes (no HTTPS enforcement),no,n/a,NOT FIXED: HTTP returns 200 — no HTTPS redirect at network level,Enable Always Use HTTPS in Cloudflare SSL/TLS dashboard,MEDIUM
